feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
miRNA_1106,334792.28884948307,6.162686070754407,0.3252401505154483,18.948109761318324,4.57732150497127e-80,3.204125053479889e-79
miRNA_190,721212401887.587,11.652317152256359,0.6270642652817089,18.582333258970753,4.466564285513469e-77,3.106930880363457e-76
miRNA_279,532860829576.14233,11.690726903955785,0.6294392641228234,18.573240613211183,5.2911063978958984e-77,3.65747729754554e-76
miRNA_887,440532.13839451806,17.607111407524023,0.9548218081974624,18.440206598091,6.250197709414824e-76,4.2936140786414883e-75
miRNA_523,6870731025.805201,5.947109978699207,0.32659451364245495,18.209460754169037,4.342022933961392e-74,2.9643687438032713e-73
miRNA_920,372738.16897745605,14.356341850131216,0.7959769391110413,18.036127863408442,1.0140513522442561e-72,6.880618377804584e-72
miRNA_908,10616355428.633848,13.002065926717004,0.7222564711895468,18.002006829101543,1.8788593825954264e-72,1.2670844372869156e-71
miRNA_141,4619481697.780097,6.152627876947611,0.34347509963925277,17.912878934774696,9.356833488422983e-72,6.2719138413308e-71
miRNA_191,410682539017.755,10.755842484675126,0.6008081097553725,17.902292445843514,1.1316625539258892e-71,7.539872196638756e-71
miRNA_148,378100815339.3374,10.822469044402359,0.6065358639416125,17.84308181559429,3.271450277974009e-71,2.1666012020594334e-70
miRNA_911,372683.6326642876,14.202386247867798,0.8010034095792099,17.730743812100275,2.428007727470064e-70,1.5984384205844588e-69
miRNA_443,2637586473.589149,5.066030426689501,0.2860613479391368,17.709594334175353,3.536117672584289e-70,2.314169317087706e-69
miRNA_739,1059373112.278781,7.06592709670354,0.403097772988505,17.529065080955025,8.597143266981136e-69,5.5932002666359624e-68
miRNA_969,2505.9301951334915,-6.947797716843812,0.400279127508613,-17.357381985135643,1.734545144676687e-67,1.1218753976680795e-66
miRNA_817,2368904129.786533,6.383997323602519,0.3693174512880498,17.28593463790399,6.004021228054403e-67,3.8607252780396337e-66
miRNA_314,1245818513.925617,7.346489628726502,0.4276306438558835,17.179521005520723,3.780195483446058e-66,2.4167030084921042e-65
miRNA_525,4701610916.059928,6.27141436152084,0.36530840490095445,17.167451603587384,4.6540952832205277e-66,2.9582927489896e-65
miRNA_163,787355831770.8904,11.91418376000146,0.699682670167901,17.02798178085852,5.093067733030317e-65,3.218818807275161e-64
miRNA_675,1022417688.9780948,6.232570343844425,0.36741283219233517,16.963398656097475,1.5321992848418178e-64,9.62847959679006e-64
miRNA_370,529166286159.77496,11.874854607841762,0.7004485886029999,16.953213699131584,1.8221556897979708e-64,1.1385899395008789e-63
miRNA_278,412688448006.8706,11.378094417135799,0.6715916099898276,16.94198415806317,2.205583437527651e-64,1.3704355516323495e-63
miRNA_485,73462824.7561795,10.575404911793894,0.6340228375720642,16.679848556073303,1.8368398013899537e-62,1.1349412404118931e-61
miRNA_280,403528716168.10864,11.467660942202285,0.6920089819484911,16.57154927369984,1.1190503831855118e-61,6.875942910017645e-61
miRNA_381,4049672892.8490405,5.262466637107846,0.3185495362978111,16.520088832237324,2.6301042106548353e-61,1.6071244513725126e-60
miRNA_22,801090798250.9917,12.133616733186411,0.7381351186605353,16.438205453772213,1.0189162863637069e-60,6.191875894056372e-60
miRNA_855,13686.783573397064,-10.493095119654503,0.6506409172550104,-16.127321294092344,1.6398005679232578e-58,9.910488678268433e-58
miRNA_1116,9037.604666142523,5.497019934000303,0.3420062301815633,16.072864903899735,3.9538284675538544e-58,2.376594720170958e-57
miRNA_885,10640936729.977716,11.617016010954774,0.7267205005264815,15.985535020050605,1.6117716872292313e-57,9.635781005813675e-57
miRNA_884,10641002268.870317,11.61482262244607,0.7272038732926401,15.971893232438894,2.0060335464073723e-57,1.1928350012508353e-56
miRNA_11,656309695317.4604,11.939036568338485,0.7487610232258487,15.945056163450051,3.083628000422972e-57,1.8237928173624636e-56
miRNA_28,2401067105.7462482,4.4679284398355135,0.2813981209420061,15.877605809444326,9.05700085471285e-57,5.328214332612985e-56
miRNA_263,473777377547.6179,11.861870321042828,0.748949686451277,15.838006925735595,1.7012818870783669e-56,9.955649561421554e-56
miRNA_223,43203.93867006123,13.005570413437454,0.8272663782380062,15.72113983543971,1.0835662474140261e-55,6.3074961559995416e-55
miRNA_6,745817576736.6309,12.470843907641708,0.7969819422786149,15.647586533751172,3.450594749930392e-55,1.9980930855617872e-54
miRNA_19,18867540144.90416,9.401916828481465,0.6088947143031633,15.440956552301968,8.680328900902025e-54,5.000231127290438e-53
miRNA_1397,244519175818.65396,10.524446665475377,0.6819462162773943,15.432957048909504,9.826289069014624e-54,5.631023684108898e-53
miRNA_135,332654103429.47473,11.00053444181263,0.7135854266539635,15.415861970997174,1.2805080686195817e-53,7.300216102542564e-53
miRNA_922,28946.04822706541,-19.39345833226406,1.2662288505285217,-15.3159188595089,5.985992186018562e-53,3.395131978326426e-52
miRNA_10,700934312726.4565,13.100194379132526,0.8567415917024653,15.290718351960255,8.817218550990241e-53,4.9754304680587795e-52
miRNA_469,4019.4448312043064,5.880233539380448,0.38947052270935867,15.09801948161442,1.6687066428670155e-51,9.368474857923448e-51
miRNA_1334,18848815588.277073,9.758107233774242,0.6495596021922557,15.02265104055232,5.217843055684726e-51,2.9146133432259128e-50
miRNA_1069,3638783028.1760764,4.555873247102738,0.3038157525195893,14.995513594407804,7.855269915789481e-51,4.3657932295794805e-50
miRNA_20,18870523075.274986,9.48669526640803,0.6375657487650818,14.879556006236323,4.474590536949741e-50,2.4744485669332066e-49
miRNA_65,592286.3290356108,5.773683070981872,0.3890474888022035,14.840561209527001,8.008317603092466e-50,4.406566800507596e-49
miRNA_124,446153.32757622126,8.483575674865728,0.5742127540750841,14.774272453301194,2.146626743246571e-49,1.1753312762528257e-48
miRNA_569,2964.1349680399444,5.559015089427288,0.3792370334013607,14.658418350045405,1.1901305402945061e-48,6.484159495397653e-48
miRNA_200,970917208.3915594,3.9518815580758946,0.26977978673437303,14.64854578585216,1.376299041014871e-48,7.461699702757095e-48
miRNA_481,189205590391.7106,10.275094498101454,0.7023723964847542,14.629126300416173,1.8312360524265682e-48,9.879741824311144e-48
miRNA_253,641639901604.6578,12.541743802463442,0.8592730060932613,14.59576143266186,2.98857250818073e-48,1.6045442689552852e-47
miRNA_209,539521677394.15265,12.983111667692372,0.8902537972969312,14.58360717709137,3.5713655345247554e-48,1.908178879799217e-47
miRNA_143,343328330445.2652,12.157537438856943,0.844962542699479,14.388256075844673,6.132275105884083e-47,3.2607193591864406e-46
miRNA_102,112651.33951507107,5.257097017824371,0.36561625287371136,14.378728999337568,7.037511066332882e-47,3.7241565738584534e-46
miRNA_923,10617429239.658623,12.140843936382733,0.8464140761668915,14.343858730899539,1.1639934534101802e-46,6.130365521293616e-46
miRNA_541,1452972182.198454,4.721995630724418,0.3319791737086553,14.223770659988563,6.524076059679178e-46,3.4197289677749626e-45
miRNA_1105,265525.0525675036,4.711541385914585,0.3315808823960999,14.20932760618651,8.01917738723702e-46,4.183589712398182e-45
miRNA_482,25867.106757272024,5.1983230891918915,0.36686006326220266,14.16977101014274,1.40959400733473e-45,7.319300338554983e-45
miRNA_254,566167410246.8875,12.61003384052897,0.8909331129053724,14.15373798309852,1.770883606980401e-45,9.152323688412727e-45
miRNA_115,1021160481.6183722,3.8073388495371736,0.269543905129394,14.12511571244569,2.6596264047582616e-45,1.3681613040291335e-44
miRNA_1033,955615194.5006527,2.845100010268265,0.20356379211984013,13.976454165254127,2.1703486613016234e-44,1.111298897870183e-43
miRNA_1308,1439623.1596740806,5.745860934849697,0.4133696748235041,13.90005432136017,6.329331149778094e-44,3.2259171666610932e-43
miRNA_211,577265.6835229746,5.895740863082835,0.42633756819049845,13.828809147892096,1.7082507666575116e-43,8.666630036344989e-43
miRNA_232,973560795.832056,4.631398636976063,0.33724822708229063,13.73290729218859,6.44927318331267e-43,3.257030201252883e-42
miRNA_497,478888.2762952595,4.739002454610835,0.34609068763652806,13.692949922963077,1.1187349620877635e-42,5.6241857639503024e-42
miRNA_831,746540466.8355522,4.113195476523627,0.3032220870560646,13.564959981833752,6.46149225217629e-42,3.233669878238451e-41
miRNA_1219,36433.90553198945,4.275767170498841,0.31941888611639563,13.386081275547243,7.292825737459363e-41,3.6332726421757007e-40
miRNA_835,2219.698722047907,4.323333796814071,0.3259401734409783,13.264194318767968,3.734124733902855e-40,1.8519919083841062e-39
miRNA_931,500343281432.72723,11.66766312977217,0.8800171596169726,13.258449568018104,4.031444879241073e-40,1.99052590912528e-39
miRNA_836,1932.6716665277077,5.2027256546067875,0.39537343635071104,13.15901670741424,1.5103868287816468e-39,7.424390367255562e-39
miRNA_178,1713.0135650750738,-4.880224649839257,0.371294396440659,-13.143814441108121,1.846773502175118e-39,9.037749970821594e-39
miRNA_524,767533996.6747944,4.267073624676939,0.3249044383795968,13.133318972059019,2.1215040927784356e-39,1.0336491306664977e-38
miRNA_215,216263986565.8308,11.042726807197267,0.8413331543772833,13.12527237247722,2.3593294815154313e-39,1.144481757261433e-38
